==> (2022, 8, 13, 1, 41, 50) | [log] !图片进度: (1/21)
==> (2022, 8, 13, 1, 41, 51) | [log] 下载图片并保存为./out/capture004/page01..jpg完成...
==> (2022, 8, 13, 1, 41, 51) | [log] !图片进度: (2/21)
==> (2022, 8, 13, 1, 41, 53) | [log] 下载图片并保存为./out/capture004/page02..jpg完成...
==> (2022, 8, 13, 1, 41, 53) | [log] !图片进度: (3/21)
==> (2022, 8, 13, 1, 41, 54) | [log] 下载图片并保存为./out/capture004/page03..jpg完成...
==> (2022, 8, 13, 1, 41, 54) | [log] !图片进度: (4/21)
==> (2022, 8, 13, 1, 41, 55) | [log] 下载图片并保存为./out/capture004/page04..jpg完成...
==> (2022, 8, 13, 1, 41, 55) | [log] !图片进度: (5/21)
==> (2022, 8, 13, 1, 41, 56) | [log] 下载图片并保存为./out/capture004/page05..jpg完成...
==> (2022, 8, 13, 1, 41, 56) | [log] !图片进度: (6/21)
==> (2022, 8, 13, 1, 41, 57) | [log] 下载图片并保存为./out/capture004/page06..jpg完成...
==> (2022, 8, 13, 1, 41, 57) | [log] !图片进度: (7/21)
==> (2022, 8, 13, 1, 41, 59) | [log] 下载图片并保存为./out/capture004/page07..jpg完成...
==> (2022, 8, 13, 1, 41, 59) | [log] !图片进度: (8/21)
==> (2022, 8, 13, 1, 41, 59) | [log] 下载图片并保存为./out/capture004/page08..jpg完成...
==> (2022, 8, 13, 1, 41, 59) | [log] !图片进度: (9/21)
==> (2022, 8, 13, 1, 42, 1) | [log] 下载图片并保存为./out/capture004/page09..jpg完成...
==> (2022, 8, 13, 1, 42, 1) | [log] !图片进度: (10/21)
==> (2022, 8, 13, 1, 42, 2) | [log] 下载图片并保存为./out/capture004/page10..jpg完成...
==> (2022, 8, 13, 1, 42, 2) | [log] !图片进度: (11/21)
==> (2022, 8, 13, 1, 42, 3) | [log] 下载图片并保存为./out/capture004/page11..jpg完成...
==> (2022, 8, 13, 1, 42, 3) | [log] !图片进度: (12/21)
==> (2022, 8, 13, 1, 42, 4) | [log] 下载图片并保存为./out/capture004/page12..jpg完成...
==> (2022, 8, 13, 1, 42, 4) | [log] !图片进度: (13/21)
==> (2022, 8, 13, 1, 42, 5) | [log] 下载图片并保存为./out/capture004/page13..jpg完成...
==> (2022, 8, 13, 1, 42, 5) | [log] !图片进度: (14/21)
==> (2022, 8, 13, 1, 42, 7) | [log] 下载图片并保存为./out/capture004/page14..jpg完成...
==> (2022, 8, 13, 1, 42, 7) | [log] !图片进度: (15/21)
==> (2022, 8, 13, 1, 42, 8) | [log] 下载图片并保存为./out/capture004/page15..jpg完成...
==> (2022, 8, 13, 1, 42, 8) | [log] !图片进度: (16/21)
==> (2022, 8, 13, 1, 42, 9) | [log] 下载图片并保存为./out/capture004/page16..jpg完成...
==> (2022, 8, 13, 1, 42, 9) | [log] !图片进度: (17/21)
==> (2022, 8, 13, 1, 42, 10) | [log] 下载图片并保存为./out/capture004/page17..jpg完成...
==> (2022, 8, 13, 1, 42, 10) | [log] !图片进度: (18/21)
==> (2022, 8, 13, 1, 42, 11) | [log] 下载图片并保存为./out/capture004/page18..jpg完成...
==> (2022, 8, 13, 1, 42, 11) | [log] !图片进度: (19/21)
==> (2022, 8, 13, 1, 42, 12) | [log] 下载图片并保存为./out/capture004/page19..jpg完成...
==> (2022, 8, 13, 1, 42, 12) | [log] !图片进度: (20/21)
==> (2022, 8, 13, 1, 42, 13) | [log] 下载图片并保存为./out/capture004/page20..jpg完成...
==> (2022, 8, 13, 1, 42, 13) | [log] !图片进度: (21/21)
==> (2022, 8, 13, 1, 42, 14) | [log] 下载图片并保存为./out/capture004/page21..jpg完成...
==> (2022, 8, 13, 1, 42, 14) | [log] !!!章节进度: 5(1-232) (5/232)
==> (2022, 8, 13, 1, 42, 14) | [debug] 创建目录./out/capture005/
==> (2022, 8, 13, 1, 42, 14) | [log] !图片进度: (1/18)
